nom,slug,type_structure,adresse,code_postal,ville,departement,telephone,email,site_web,statut,summary_falc
"Planning Familial 67","planning-familial-67",association,"13 rue de la Brigade",67000,Strasbourg,67,0388354242,,https://www.planning-familial.org,actif,"Santé sexuelle, contraception et écoute."
"Cresus Alsace","cresus-alsace",association,"5 rue du Noyer",67000,Strasbourg,67,0388232930,,https://www.cresusalsace.org,actif,"Aide pour les problèmes de surendettement."
"L'Etage - Club de jeunes","letage-strasbourg",association,"19 quai des Bateliers",67000,Strasbourg,67,0388355252,,https://www.letage.fr,actif,"Accueil de jour, repas et hygiène pour les jeunes."
"Abrapa - Aide à domicile","abrapa-alsace",association,"1 place Albert Schweitzer",67000,Strasbourg,67,0388211717,,https://www.abrapa.fr,actif,"Services pour les seniors (ménage, repas, soins)."
"Soliha Alsace","soliha-alsace",association,"12 rue des Glacières",67000,Strasbourg,67,0388361525,,https://alsace.soliha.fr,actif,"Aide pour améliorer son logement ou travaux."
"Petits Frères des Pauvres - Strasbourg","petits-freres-des-pauvres-strasbourg",association,"15 avenue de la Paix",67000,Strasbourg,67,0388151515,,https://www.petitsfreresdespauvres.fr,actif,"Lutte contre l'isolement des personnes âgées."
"Relais Est - Collecte textile","relais-est-wittenheim",association,"20 rue du Maréchal de Lattre de Tassigny",68270,Wittenheim,68,0389578000,,https://www.relaisest.org,actif,"Recyclage de vêtements et insertion par le travail."
"Habitat et Humanisme Alsace","habitat-humanisme-alsace",association,"10 rue de la Division Leclerc",67000,Strasbourg,67,0388320000,,https://www.habitat-humanisme.org,actif,"Logement pour les personnes seules ou précaires."
"Auberge de Jeunesse - Strasbourg","auberge-jeunesse-strasbourg",association,"9 rue de l'Auberge de Jeunesse",67000,Strasbourg,67,0388302646,,https://www.hifrance.org,actif,"Hébergement à bas prix pour les voyageurs."
"CHRS Le Cap - Colmar","chrs-le-cap-colmar",association,"5 rue d'Altkirch",68000,Colmar,68,0389201515,,https://www.chrs-le-cap.fr,actif,"Centre d'hébergement pour adultes en difficulté."
